task_index,task,feature_index,interval,x,ale
0,task_1,8,19,0.014066703617572784,0.327609121799469
0,task_1,8,20,0.042343661189079285,0.1927955597639084
0,task_1,8,21,0.06741897761821747,0.05860572308301926
0,task_1,8,22,0.08993226289749146,-0.061967093497514725
0,task_1,8,23,0.11079905927181244,-0.18257375061511993
0,task_1,8,24,0.12590309977531433,-0.2709447741508484
0,task_1,8,25,0.15031704306602478,-0.43714359402656555
0,task_1,8,26,0.1684386283159256,-0.5712406635284424
0,task_1,8,27,0.18896085023880005,-0.7480564713478088
0,task_1,8,28,0.2075124979019165,-0.9116483330726624
0,task_1,8,29,1.6179194450378418,-4.886691570281982
0,task_1,9,0,0.0,-1.157529592514038
0,task_1,9,1,0.0,-1.157529592514038
0,task_1,9,2,0.0,-1.157529592514038
0,task_1,9,3,0.0,-1.157529592514038
0,task_1,9,4,0.0,-1.157529592514038
0,task_1,9,5,0.003697521984577179,-1.142212986946106
0,task_1,9,6,0.025163069367408752,-1.053742527961731
0,task_1,9,7,0.05853342264890671,-0.9191731214523315
0,task_1,9,8,0.08554136008024216,-0.8133901953697205
0,task_1,9,9,0.10891059786081314,-0.7235903143882751
0,task_1,9,10,0.1351827085018158,-0.6245558261871338
0,task_1,9,11,0.17585676908493042,-0.4722924530506134
0,task_1,9,12,0.20381534099578857,-0.3678796887397766
0,task_1,9,13,0.22480881214141846,-0.2902953028678894
0,task_1,9,14,0.25418001413345337,-0.18225087225437164
0,task_1,9,15,0.28697487711906433,-0.0617641918361187
0,task_1,9,16,0.3204719126224518,0.06081508472561836
0,task_1,9,17,0.3461163640022278,0.15473350882530212
0,task_1,9,18,0.3806207478046417,0.2828444540500641
0,task_1,9,19,0.40499332547187805,0.37673258781433105
0,task_1,9,20,0.4385316073894501,0.5075339078903198
0,task_1,9,21,0.46821585297584534,0.6250531673431396
0,task_1,9,22,0.5027332901954651,0.7610745429992676
0,task_1,9,23,0.5314683318138123,0.8744587302207947
0,task_1,9,24,0.5589087605476379,0.9830820560455322
0,task_1,9,25,0.594086766242981,1.1224271059036255
0,task_1,9,26,0.6196444630622864,1.2229055166244507
0,task_1,9,27,0.6482044458389282,1.3369762897491455
0,task_1,9,28,0.6822274923324585,1.4711041450500488
0,task_1,9,29,0.9918330311775208,2.6590521335601807
0,task_1,10,0,0.4116010069847107,-1.1971871852874756
0,task_1,10,1,0.47967690229415894,-1.1309888362884521
0,task_1,10,2,0.5419967770576477,-1.0711649656295776
0,task_1,10,3,0.6065241694450378,-1.0130876302719116
0,task_1,10,4,0.6707640886306763,-0.9553168416023254
0,task_1,10,5,0.7181724309921265,-0.9133728742599487
0,task_1,10,6,0.7784507870674133,-0.860116720199585
0,task_1,10,7,0.84099280834198,-0.8065279126167297
0,task_1,10,8,0.9021095633506775,-0.7546561360359192
0,task_1,10,9,0.9679316878318787,-0.6977142691612244
0,task_1,10,10,1.0423556566238403,-0.6339226961135864
0,task_1,10,11,1.1094703674316406,-0.5760787129402161
0,task_1,10,12,1.2015841007232666,-0.49504977464675903
0,task_1,10,13,1.2846662998199463,-0.4215973913669586
0,task_1,10,14,1.373337984085083,-0.34346091747283936
0,task_1,10,15,1.4665114879608154,-0.2615143954753876
0,task_1,10,16,1.5932382345199585,-0.15109986066818237
0,task_1,10,17,1.7177631855010986,-0.04262574389576912
0,task_1,10,18,1.8427560329437256,0.06425453722476959
0,task_1,10,19,1.9971545934677124,0.19575190544128418
0,task_1,10,20,2.1793179512023926,0.35126107931137085
0,task_1,10,21,2.3353939056396484,0.48418235778808594
0,task_1,10,22,2.525414228439331,0.6463336944580078
0,task_1,10,23,2.7481014728546143,0.8366369605064392
0,task_1,10,24,2.9791152477264404,1.0334011316299438
0,task_1,10,25,3.2173562049865723,1.2370082139968872
0,task_1,10,26,3.476900339126587,1.4583042860031128
0,task_1,10,27,3.7465038299560547,1.68850576877594
0,task_1,10,28,4.062986850738525,1.9583972692489624
0,task_1,10,29,4.5724897384643555,2.37144136428833
0,task_1,11,0,0.0,-1.0066945552825928
0,task_1,11,1,0.0,-1.0066945552825928
0,task_1,11,2,0.0,-1.0066945552825928
0,task_1,11,3,0.0,-1.0066945552825928
0,task_1,11,4,0.0,-1.0066945552825928
0,task_1,11,5,0.0,-1.0066945552825928
0,task_1,11,6,0.015312761068344116,-0.9881002902984619
0,task_1,11,7,0.07666105031967163,-0.9132320284843445
0,task_1,11,8,0.13281099498271942,-0.8447656035423279
0,task_1,11,9,0.19438669085502625,-0.7692864537239075
0,task_1,11,10,0.25849080085754395,-0.6903761625289917
0,task_1,11,11,0.3403310775756836,-0.5917335152626038
0,task_1,11,12,0.41189509630203247,-0.5051868557929993
0,task_1,11,13,0.48489445447921753,-0.41696688532829285
0,task_1,11,14,0.5591437220573425,-0.32665982842445374
0,task_1,11,15,0.6542945504188538,-0.21105730533599854
0,task_1,11,16,0.740932822227478,-0.1053905263543129
0,task_1,11,17,0.8308600187301636,0.004609731491655111
0,task_1,11,18,0.928655743598938,0.12415996938943863
0,task_1,11,19,1.036656379699707,0.2565550208091736
0,task_1,11,20,1.1543307304382324,0.4003904461860657
0,task_1,11,21,1.2717176675796509,0.5443193316459656
0,task_1,11,22,1.3873845338821411,0.6862049102783203
0,task_1,11,23,1.5352976322174072,0.8675556182861328
0,task_1,11,24,1.6653727293014526,1.026118278503418
0,task_1,11,25,1.8004300594329834,1.191723346710205
0,task_1,11,26,1.9555573463439941,1.380736231803894
0,task_1,11,27,2.121143341064453,1.5823051929473877
0,task_1,11,28,2.2690420150756836,1.762527346611023
0,task_1,11,29,2.9556117057800293,2.5757131576538086
0,task_1,12,0,0.0,0.3339792788028717
0,task_1,12,1,0.0,0.3339792788028717
0,task_1,12,2,0.0,0.3339792788028717
0,task_1,12,3,0.0,0.3339792788028717
0,task_1,12,4,0.0,0.3339792788028717
0,task_1,12,5,0.0,0.3339792788028717
0,task_1,12,6,0.0,0.3339792788028717
0,task_1,12,7,0.0,0.3339792788028717
0,task_1,12,8,0.0,0.3339792788028717
0,task_1,12,9,0.0,0.3339792788028717
0,task_1,12,10,0.0,0.3339792788028717
0,task_1,12,11,0.0,0.3339792788028717
0,task_1,12,12,0.0,0.3339792788028717
0,task_1,12,13,0.0,0.3339792788028717
0,task_1,12,14,0.0,0.3339792788028717
0,task_1,12,15,0.0,0.3339792788028717
0,task_1,12,16,0.0,0.3339792788028717
0,task_1,12,17,0.0,0.3339792788028717
0,task_1,12,18,0.0,0.3339792788028717
0,task_1,12,19,0.0,0.3339792788028717
